D-A=T,Ürün Kodu,PLM,Renk,DSM Termin,Unnamed: 5,Atölye Termin,Unnamed: 7,Atölye,Kesim Adedi,Fit Onayı,Çizildi,Kesim,Fason Durum,Kumaşçı ,Termin,Dantel ,Sipariş ,Termin ,Etiket,Düğme, Termin,Aksesuar ,Sipariş .1,Termin.1,Sevk Adedi,Fire Adedi,Açıklama
-11,TBBSS26AI00045,1125681,Pembe,2026-03-31,0,,0,Laperissa,426,Onaylandı,Çizildi,Kesildi,Ütü Paket'de,,,,,,Hazırlandı,,,,,,0,426,
-11,THMAW23SU00167,1156795,Ekru,2026-04-02,0,2026-03-31,0,Osman,494,Onaylandı,Çizildi,Kesildi,Final,,,,,,Hazırlandı,,,,,,483,11,31.03.2026 tarihinde geldi
-11,TBBSS23AI00009,1155671,Ekru,2026-03-31,0,,0,-,0,Onaylandı,Çizilmedi,Tedarik Sürecinde,-,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,KARBOY TESKTİL ÜST DÜZ KUMAŞI 28/03/2026 GELDİ 
-11,THMAW23CY00002,1154105,Bordo,2026-03-31,0,,0,Şener,302,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,302,Kumaşta sorun olduğu için kesilemedi. Yeni kesilecek 
-10,THMSS25GC00015,1153833,Bordo,2026-04-04,0,2026-04-01,0,Vehbi,296,Onaylandı,Çizildi,Kesildi,Ütü Paket'de,,,,,,Hazırlandı,,,,,,,296,
-9,THMSS26PT00182,1143454,Siyah,2026-03-28,0,2026-04-02,0,Seyit,306,Onaylandı,Çizildi,Kesildi,Ütü Paket'de,-,,-,-,,Hazırlandı,-,,-,-,,0,306,01.04.2026 Tarıhınde gün içinde alınacak
-9,THMSS25PT00105,1153848,Çok - Pudra,2026-04-04,0,2026-04-02,0,Orhan,438,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,438,
-8,THMSS26PT00102,1153837,Siyah,2026-03-28,0,2026-04-03,0,Laperissa,500,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,500,
-8,TBESS25AU00044,1132481,Siyah,2026-04-03,0,,0,Laperissa,448,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,448,
-8,TBBAW25AI00039,1133122,Pembe,2026-04-03,0,,0,Laperissa,276,Onaylandı,Çizildi,Kesildi,Ütü Paket'de,,,,,,Hazırlandı,,,,,,,276,"Kumaşında sıkıntı var, beklemede"
-8,TBESS22EL0026,1133276,Siyah,2026-04-03,0,,0,Serkan,750,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,750,
-8,TBBSS26AI00055,1133656,Mint,2026-04-03,0,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,01.04.2026 TARIHINDE KUMAŞ GELDİ KADRİYE HANIMA İLETİLDİ
-8,TBBSS26AI00055,1133657,Sarı,2026-04-03,0,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,01.04.2026 TARIHINDE KUMAŞ GELDİ KADRİYE HANIMA İLETİLDİ
-8,TBBSS26AI00055,1133658,Pembe,2026-04-03,0,,0,,,Onaylandı,Çizilmedi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,31.03.2026 tarihinde kumaş geldi Kadriye hanıma pastal için iletildi
-8,THMSS26PT00189,1141943,Kahverengi,2026-03-30,0,2026-04-03,0,Hamza,454,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,454,Altları bitti üstleri 01.04.2026 tarihinde gün içinde alınacak
-8,TBESS25AU00044,1132480,Siyah-Çok Renkli,2026-04-03,0,,0,Laperissa,402,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,402,
-8,TBBSS25AI00082,1152335,Pembe,2026-04-03,0,,0,Laperissa,400,Onaylandı,Çizildi,Kesildi,Final,,,,,,Hazırlanıyor,,,,,,389,11,
